Account Fax,Account ID,Account Name,Account Number,Account Rating,Account Site,Account Type,Application,Billing City,Billing Country,Billing Geocode Accuracy,Billing State/Province,Create in Zendesk,Created By ID,Created Date,Created Updated Flag,Deleted,Domain Mapping,Industry,Is Demo Center,Jigsaw Company ID,Last Activity,Last Modified By ID,Last Modified Date,Last Referenced Date,Last Sync Date,Last Sync Status,Last Viewed Date,Lead Type,Life Science KeyAccount,Master Record ID,NetSuite Billing Country,NetSuite Customer ID,Notes,Owner ID,Ownership,Parent Account ID,Record Type ID,Reference Customer,Region,Shipping City,Shipping Country,Shipping Geocode Accuracy,Shipping State/Province,Shipping Zip/Postal Code,SIC Code,System Modstamp,Ticker Symbol,Zendesk Organization,Zendesk Organization Id,Zendesk OutofSync,Zendesk Result,Annual Revenue,Billing Latitude,Billing Longitude,Employees,Shipping Latitude,Shipping Longitude
0,0013100001gw5O5AAI,Aliquam Ultrices Iaculis Corporation,0,,0,,Drugs;CWAs,Tampa,UNITED STATES,0,FL,FALSE,00531000007KgPgAAK,20-05-2016 18:14,FALSE,FALSE,0,Consulting,FALSE,0,23-04-2021,00531000007MUoEAAW,09-01-2019 21:33,0,0,,0,,FALSE,0,,0,,00531000007Es7rAAC,,0,0125A000001NaCTQA0,,,,,0,,0,0,29-06-2021 20:27,,,0,FALSE,,,,,0,,
0,0013100001gx5w8AAA,Aliquam Ultrices Iaculis Corporation,0,,0,,All Hazards,Tempe,UNITED STATES,0,AZ,FALSE,00531000007KAsvAAG,27-05-2016 14:38,FALSE,FALSE,0,Consulting,FALSE,0,08-04-2021,00531000007MUoEAAW,06-02-2019 16:13,0,0,,0,,FALSE,0,,0,,0055A000009sa63QAA,,0,0125A000001NaCTQA0,,,,,0,,0,0,29-06-2021 20:27,,,0,FALSE,,,,,0,,
0,0013100001gxkInAAI,Non Vestibulum Consulting,0,,0,,Explosives;Drugs;CWAs,New York,UNITED STATES,0,NY,FALSE,00531000007KAsvAAG,01-06-2016 13:59,FALSE,FALSE,0,Energy,FALSE,0,26-01-2018,00531000007MUoEAAW,09-01-2019 21:33,0,0,,0,,FALSE,0,,0,,00531000007KgPgAAK,,0,0125A000001NaCTQA0,,,,,0,,0,0,29-06-2021 20:27,,,0,FALSE,,,,,0,,
0,0013100001hmuqXAAQ,Porta Elit A Ltd,0,,0,,Drugs,Newark,UNITED STATES,0,NJ,FALSE,00531000007KAsvAAG,02-05-2016 13:22,FALSE,FALSE,0,Energy,FALSE,0,07-10-2019,00531000007MUoEAAW,09-01-2019 19:30,0,0,,0,,FALSE,0,,0,,00531000007KAsvAAG,,0,0125A000001NaCTQA0,,,,,0,,0,0,29-06-2021 20:27,,,0,FALSE,,,,,0,,
0,0013100001hmv3CAAQ,Porta Elit A Ltd,0,,0,,CWAs,Sarasota,UNITED STATES,0,FL,FALSE,00531000007KAsvAAG,02-05-2016 13:53,FALSE,FALSE,0,Energy,FALSE,0,04-01-2018,005i0000000fpvQAAQ,04-05-2018 18:07,0,0,,0,,FALSE,0,,0,,00531000007KgPgAAK,,0,0125A000001NaCTQA0,,,,,0,,0,0,29-06-2021 20:27,,,0,FALSE,,,,,0,,
0,0013100001hmv4ZAAQ,Nunc Commodo Limited,0,,0,,All Hazards,,UNITED STATES,0,FL,FALSE,00531000007KAsvAAG,02-05-2016 13:55,FALSE,FALSE,0,Biotechnology,FALSE,0,08-04-2021,00531000007MUoEAAW,09-01-2019 20:19,0,0,,0,,FALSE,0,,0,,00531000007KAsvAAG,,0,0125A000001NaCTQA0,,,,,0,,0,0,29-06-2021 20:27,,,0,FALSE,,,,,0,,
0,0013100001hmv6GAAQ,Nunc Commodo Limited,0,,0,,All Hazards,Tampa,UNITED STATES,0,FL,FALSE,00531000007KAsvAAG,02-05-2016 13:59,FALSE,FALSE,0,Biotechnology,FALSE,0,15-04-2021,00531000007MUoEAAW,09-01-2019 20:19,0,0,,0,,FALSE,0,,0,,00531000007KAsvAAG,,0,0125A000001NaCTQA0,,,,,0,,0,0,29-06-2021 20:27,,,0,FALSE,,,,,0,,
0,0013100001hmvEPAAY,Nunc Commodo Limited,0,,0,,All Hazards,Wichita,UNITED STATES,0,KS,FALSE,00531000007KAsvAAG,02-05-2016 14:14,FALSE,FALSE,0,Biotechnology,FALSE,0,23-04-2021,0055A000009sa63QAA,05-03-2020 00:16,0,0,,0,,FALSE,0,,0,,0055A000009sa63QAA,,0,0125A000001NaCTQA0,,,,,0,,0,0,29-06-2021 20:27,,,0,FALSE,,,,,0,,
0,0013100001hmvU8AAI,Nunc Commodo Limited,0,,0,,Drugs;All Hazards,Great Lakes,UNITED STATES,0,IL,FALSE,00531000007KAsvAAG,02-05-2016 14:39,FALSE,FALSE,0,Biotechnology,FALSE,0,08-04-2021,00531000007MUoEAAW,09-01-2019 19:30,0,0,,0,,FALSE,0,,0,,00531000007KAsvAAG,,0,0125A000001NaCTQA0,,,,,0,,0,0,29-06-2021 20:27,,,0,FALSE,,,,,0,,
0,0013100001hmvbYAAQ,Lectus Foundation,0,,0,,All Hazards,Glendale,UNITED STATES,0,CA,FALSE,00531000007KAsvAAG,02-05-2016 14:49,FALSE,FALSE,0,Consulting,FALSE,0,08-04-2021,00531000007MUoEAAW,06-02-2019 16:13,0,0,,0,,FALSE,0,,0,,0055A000009sa63QAA,,0,0125A000001NaCTQA0,,,,,0,,0,0,29-06-2021 20:27,,,0,FALSE,,,,,0,,
0,0013100001hn7SQAAY,Varius Associates,0,,0,,All Hazards,Waukegan,UNITED STATES,0,IL,FALSE,00531000007KAsvAAG,03-05-2016 15:16,FALSE,FALSE,0,Biotechnology,FALSE,0,08-04-2021,00531000007MUoEAAW,09-01-2019 20:19,0,0,,0,,FALSE,0,,0,,00531000007KAsvAAG,,0,0125A000001NaCTQA0,,,,,0,,0,0,29-06-2021 20:27,,,0,FALSE,,,,,0,,
